,svspp,seacat,year,prey,abunpop,abunpop.sd,biompop,biompop.sd,CMT,cb,nctds,bt,bt_sd
4100,15,FALL,1995,MERBIL,182496489.9,605076511.4,168125388.7,649006970.5,1429.733671,0.008503972,272,10.73360251,3.381367256
4101,15,FALL,1995,OTHER,182496489.9,605076511.4,168125388.7,649006970.5,46433.26904,0.276182374,272,10.73360251,3.381367256
4103,15,FALL,1995,PEPTRI,182496489.9,605076511.4,168125388.7,649006970.5,0,0,272,10.73360251,3.381367256
4098,15,FALL,1995,SCOSCO,182496489.9,605076511.4,168125388.7,649006970.5,77.87403965,0.00046319,272,10.73360251,3.381367256
4107,15,FALL,1996,all,287232207,1517511750,358714411.9,1951671370,56693.52831,0.158046419,203,10.0928686,2.460138887
4109,15,FALL,1996,AMMFAM,287232207,1517511750,358714411.9,1951671370,161.4040118,0.000449951,203,10.0928686,2.460138887
4112,15,FALL,1996,CLUHAR,287232207,1517511750,358714411.9,1951671370,5036.563554,0.014040594,203,10.0928686,2.460138887
4105,15,FALL,1996,LOLIGO,287232207,1517511750,358714411.9,1951671370,946.6625567,0.002639042,203,10.0928686,2.460138887
4106,15,FALL,1996,MERBIL,287232207,1517511750,358714411.9,1951671370,5.756596469,1.60E-05,203,10.0928686,2.460138887
4110,15,FALL,1996,OTHER,287232207,1517511750,358714411.9,1951671370,51380.10301,0.143234008,203,10.0928686,2.460138887
4108,15,FALL,1996,PEPTRI,287232207,1517511750,358714411.9,1951671370,18.57697404,5.18E-05,203,10.0928686,2.460138887
4111,15,FALL,1996,SCOSCO,287232207,1517511750,358714411.9,1951671370,1012.648639,0.002822994,203,10.0928686,2.460138887
4118,15,FALL,1997,all,160604139.1,619668946.3,166776615.1,853589493.9,80412.89374,0.482159286,247,11.42215512,3.112340825
4114,15,FALL,1997,AMMFAM,160604139.1,619668946.3,166776615.1,853589493.9,1899.527772,0.011389653,247,11.42215512,3.112340825
4117,15,FALL,1997,CLUHAR,160604139.1,619668946.3,166776615.1,853589493.9,9869.899961,0.059180359,247,11.42215512,3.112340825
4115,15,FALL,1997,LOLIGO,160604139.1,619668946.3,166776615.1,853589493.9,3131.222641,0.01877495,247,11.42215512,3.112340825
4119,15,FALL,1997,MERBIL,160604139.1,619668946.3,166776615.1,853589493.9,675.48122,0.004050215,247,11.42215512,3.112340825
4113,15,FALL,1997,OTHER,160604139.1,619668946.3,166776615.1,853589493.9,63637.60398,0.381573903,247,11.42215512,3.112340825
4116,15,FALL,1997,PEPTRI,160604139.1,619668946.3,166776615.1,853589493.9,4770.339422,0.028603167,247,11.42215512,3.112340825
4120,15,FALL,1997,SCOSCO,160604139.1,619668946.3,166776615.1,853589493.9,345.0299289,0.002068815,247,11.42215512,3.112340825
4127,15,FALL,1998,all,155343101.6,821077428.6,218305081.2,1128828139,46497.97213,0.212995373,271,9.950964635,3.096192149
4121,15,FALL,1998,AMMFAM,155343101.6,821077428.6,218305081.2,1128828139,34.78353694,0.000159335,271,9.950964635,3.096192149
4122,15,FALL,1998,CLUHAR,155343101.6,821077428.6,218305081.2,1128828139,3971.93789,0.018194436,271,9.950964635,3.096192149
4128,15,FALL,1998,LOLIGO,155343101.6,821077428.6,218305081.2,1128828139,351.8186333,0.001611592,271,9.950964635,3.096192149
4124,15,FALL,1998,MERBIL,155343101.6,821077428.6,218305081.2,1128828139,173.2349391,0.000793545,271,9.950964635,3.096192149
4125,15,FALL,1998,OTHER,155343101.6,821077428.6,218305081.2,1128828139,42360.48328,0.19404259,271,9.950964635,3.096192149
4123,15,FALL,1998,PEPTRI,155343101.6,821077428.6,218305081.2,1128828139,199.9756872,0.000916038,271,9.950964635,3.096192149
4126,15,FALL,1998,SCOSCO,155343101.6,821077428.6,218305081.2,1128828139,800.0811894,0.003664968,271,9.950964635,3.096192149
4132,15,FALL,1999,all,103828092.2,263659390.3,148668410.8,376388393.7,48311.81099,0.324963526,258,11.34200631,3.329695805
4131,15,FALL,1999,AMMFAM,103828092.2,263659390.3,148668410.8,376388393.7,977.0419182,0.006571954,258,11.34200631,3.329695805
4133,15,FALL,1999,CLUHAR,103828092.2,263659390.3,148668410.8,376388393.7,9834.393347,0.066149852,258,11.34200631,3.329695805
4134,15,FALL,1999,LOLIGO,103828092.2,263659390.3,148668410.8,376388393.7,2694.909178,0.018126979,258,11.34200631,3.329695805
4129,15,FALL,1999,MERBIL,103828092.2,263659390.3,148668410.8,376388393.7,468.6684341,0.003152441,258,11.34200631,3.329695805
4135,15,FALL,1999,OTHER,103828092.2,263659390.3,148668410.8,376388393.7,37189.34135,0.250149586,258,11.34200631,3.329695805
4136,15,FALL,1999,PEPTRI,103828092.2,263659390.3,148668410.8,376388393.7,486.0031697,0.003269041,258,11.34200631,3.329695805
