"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"1010","all",23,"FALL",2002,25464.2497489894,7.3391092867297,191721.638798457,0.377078776767018,9.11748496243011e-05,2.61327788291431
"1011","all",23,"FALL",2003,16386.9854082685,216.039836065734,94400.551566772,0.402899150260792,0.0047013975781472,2.46060169297432
"1012","all",23,"FALL",2004,10682.2042435532,0.000772772749542229,92196.5791055464,0.193497428281109,1.20713756465368e-08,1.32306021164857
"1013","all",23,"FALL",2005,13862.498498808,2.86220976221956,78794.4168429438,0.49307004678971,0.000105851094070248,2.78117075156901
"1014","all",23,"FALL",2006,19895.330893788,7.48286320152263,109338.831345191,0.539934707542583,0.000258076845097488,2.83375450351392
"1015","all",23,"FALL",2007,42997.8187671425,13.6928291180605,247695.413437888,0.990949559372597,0.000310863146304394,5.46870665669179
"1016","all",23,"FALL",2008,67306.8770378494,1.24618017000258,550946.995723845,0.570262208579193,9.17021994621593e-06,3.97777095729554
"1017","all",23,"FALL",2009,41942.6545514744,563.761985645625,222809.739186362,0.492419575815887,0.00705485775881406,2.79883507568427
"1018","all",23,"FALL",2010,28719.2900729302,2.33097059700618,191074.481910642,0.386019151728577,3.10421492489529e-05,2.76154096027064
"1019","all",23,"FALL",2011,45880.492475062,0.411279536234102,292292.169259954,0.64249291893568,7.15970942492127e-06,3.27534022586504
"1020","all",23,"FALL",2012,25292.6875834419,279.796088054559,111535.846630316,0.489833659131958,0.00617990145672724,2.53704713231593
"1021","all",23,"FALL",2013,35399.8722462284,0.504851123811525,227007.532065808,1.06993886818365,1.38647247036566e-05,7.31072721926704
"1022","all",23,"FALL",2014,35024.8657450129,1.48028908790068e-20,311923.860225416,1.12106857556425,2.50303524987596e-24,11.1889139864466
"1023","all",23,"FALL",2015,17290.8018090978,615.42838359083,82847.1782476414,0.278706493086245,0.0098665121102439,1.52387042597577
"1024","all",23,"FALL",2016,19913.2164806302,199.047959594955,109787.379773674,0.279269840129347,0.0025902249186483,1.41262492649165
"1025","all",23,"FALL",2017,7347.75519021917,333.219137146972,33733.728984045,0.148454732146357,0.00660832361290234,0.656131874116412
"1026","all",23,"FALL",2018,18768.7685897222,52.2373359075094,135062.922875265,0.311512441843854,0.000744615421376039,1.66171438969593
"1027","all",23,"FALL",2019,11397.6627465092,50.6020099812192,51071.0267151558,0.104749971588814,0.000474708517632509,0.460204716430073
"1028","all",23,"FALL",2020,NA,0,0,NA,0,0
"1029","all",23,"FALL",2021,23937.2297279331,0.0317822560097165,156040.77525581,0.401275193884114,3.69314161480166e-07,2.95092921054201
"1030","all",23,"SPRING",1973,NA,0,0,NA,0,0
"1031","all",23,"SPRING",1974,NA,0,0,NA,0,0
"1032","all",23,"SPRING",1975,NA,0,0,NA,0,0
"1033","all",23,"SPRING",1976,NA,0,0,NA,0,0
"1034","all",23,"SPRING",1977,4378.47055417513,3.94409511023317,19820.2333976521,0.0853958622509472,7.26192566072733e-05,0.434207850725363
"1035","all",23,"SPRING",1978,10262.8056833042,9.94218077583926e-11,96979.6664891407,0.12254509066866,8.06258131928446e-16,1.4988774124681
